@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
37,'2021/06/24 18:47:46:699',2,210,4,93,0.89,0.29,0.01,0.22,0.88,0.06
38,'2021/06/24 18:47:46:751',2,209,4,94,0.89,0.29,0.01,0.22,0.88,0.06
39,'2021/06/24 18:47:46:804',2,209,4,92,0.89,0.29,0.01,0.22,0.88,0.06
40,'2021/06/24 18:47:46:859',2,210,4,92,0.89,0.29,0.01,0.22,0.88,0.06
41,'2021/06/24 18:47:46:910',2,209,4,92,0.89,0.29,0.01,0.22,0.88,0.06
42,'2021/06/24 18:47:46:961',2,209,4,92,0.89,0.29,0.01,0.22,0.88,0.06
43,'2021/06/24 18:47:47:017',2,209,4,91,0.89,0.29,0.01,0.22,0.88,0.06
44,'2021/06/24 18:47:47:074',2,210,6,90,0.89,0.29,0.01,0.22,0.88,0.06
45,'2021/06/24 18:47:47:125',2,209,5,92,0.89,0.29,0.01,0.22,0.88,0.06
46,'2021/06/24 18:47:47:175',2,209,4,93,0.89,0.29,0.01,0.22,0.88,0.06
47,'2021/06/24 18:47:47:226',2,209,5,92,0.89,0.29,0.01,0.22,0.88,0.06
48,'2021/06/24 18:47:47:283',2,209,5,93,0.89,0.29,0.01,0.22,0.88,0.06
49,'2021/06/24 18:47:47:349',2,208,5,92,0.89,0.29,0.01,0.22,0.88,0.06
50,'2021/06/24 18:47:47:402',2,208,4,93,0.89,0.29,0.01,0.22,0.88,0.06
51,'2021/06/24 18:47:47:452',2,207,4,94,0.89,0.29,0.01,0.22,0.88,0.06
52,'2021/06/24 18:47:47:507',2,208,4,94,0.89,0.29,0.01,0.22,0.88,0.06
53,'2021/06/24 18:47:47:557',2,207,5,94,0.89,0.29,0.01,0.22,0.88,0.06
54,'2021/06/24 18:47:47:607',2,208,4,94,0.89,0.29,0.01,0.22,0.88,0.06
55,'2021/06/24 18:47:47:661',2,207,4,94,0.89,0.29,0.01,0.22,0.88,0.06
56,'2021/06/24 18:47:47:716',2,207,5,94,0.89,0.29,0.01,0.22,0.88,0.06
57,'2021/06/24 18:47:47:768',2,209,6,92,0.89,0.29,0.01,0.22,0.88,0.06
58,'2021/06/24 18:47:47:819',2,208,5,92,0.89,0.29,0.01,0.22,0.88,0.06
59,'2021/06/24 18:47:47:869',2,208,5,94,0.89,0.29,0.01,0.22,0.88,0.06
60,'2021/06/24 18:47:47:921',2,208,6,92,0.89,0.29,0.01,0.22,0.88,0.06
61,'2021/06/24 18:47:51:103',3,205,8,96,0.89,0.29,0.01,0.22,0.88,0.06
62,'2021/06/24 18:47:51:154',3,206,8,94,0.89,0.29,0.01,0.22,0.88,0.06
63,'2021/06/24 18:47:51:208',3,207,9,94,0.89,0.29,0.01,0.22,0.88,0.06
64,'2021/06/24 18:47:51:261',3,206,9,95,0.89,0.29,0.01,0.22,0.88,0.06
65,'2021/06/24 18:47:51:313',3,205,8,96,0.89,0.29,0.01,0.22,0.88,0.06
66,'2021/06/24 18:47:51:365',3,205,8,97,0.89,0.29,0.01,0.22,0.88,0.06
67,'2021/06/24 18:47:51:423',3,205,8,94,0.89,0.29,0.01,0.22,0.88,0.06
68,'2021/06/24 18:47:51:472',3,205,8,96,0.89,0.29,0.01,0.22,0.88,0.06
69,'2021/06/24 18:47:51:522',3,205,8,95,0.89,0.29,0.01,0.22,0.88,0.06
70,'2021/06/24 18:47:51:572',3,206,9,93,0.89,0.29,0.01,0.22,0.88,0.06
71,'2021/06/24 18:47:51:622',3,206,9,93,0.89,0.29,0.01,0.22,0.88,0.06
72,'2021/06/24 18:47:51:673',3,206,9,92,0.89,0.29,0.01,0.22,0.88,0.06
73,'2021/06/24 18:47:51:723',3,205,9,94,0.89,0.29,0.01,0.22,0.88,0.06
74,'2021/06/24 18:47:51:774',3,206,9,93,0.89,0.29,0.01,0.22,0.88,0.06
75,'2021/06/24 18:47:51:827',3,206,9,93,0.89,0.29,0.01,0.22,0.88,0.06
76,'2021/06/24 18:47:51:877',3,206,9,93,0.89,0.29,0.01,0.22,0.88,0.06
77,'2021/06/24 18:47:51:927',3,205,8,95,0.89,0.29,0.01,0.22,0.88,0.06
78,'2021/06/24 18:47:51:977',3,206,8,94,0.89,0.29,0.01,0.22,0.88,0.06
79,'2021/06/24 18:47:52:027',3,206,10,92,0.89,0.29,0.01,0.22,0.88,0.06
80,'2021/06/24 18:47:52:080',3,206,9,94,0.89,0.29,0.01,0.22,0.88,0.06
81,'2021/06/24 18:47:52:141',3,206,9,94,0.89,0.29,0.01,0.22,0.88,0.06
82,'2021/06/24 18:47:52:191',3,205,9,93,0.89,0.29,0.01,0.22,0.88,0.06
83,'2021/06/24 18:47:52:241',3,206,9,93,0.89,0.29,0.01,0.22,0.88,0.06
84,'2021/06/24 18:47:52:291',3,204,8,96,0.89,0.29,0.01,0.22,0.88,0.06
85,'2021/06/24 18:47:52:341',3,206,10,92,0.89,0.29,0.01,0.22,0.88,0.06
86,'2021/06/24 18:47:52:391',3,206,10,93,0.89,0.29,0.01,0.22,0.88,0.06
87,'2021/06/24 18:47:52:441',3,206,9,93,0.89,0.29,0.01,0.22,0.88,0.06
88,'2021/06/24 18:47:52:493',3,205,8,94,0.89,0.29,0.01,0.22,0.88,0.06
89,'2021/06/24 18:47:52:544',3,206,10,92,0.89,0.29,0.01,0.22,0.88,0.06
90,'2021/06/24 18:47:52:594',3,206,9,93,0.89,0.29,0.01,0.22,0.88,0.06
91,'2021/06/24 18:47:52:645',3,206,9,93,0.89,0.29,0.01,0.22,0.88,0.06
92,'2021/06/24 18:47:52:695',3,206,9,92,0.89,0.29,0.01,0.22,0.88,0.06
93,'2021/06/24 18:47:52:745',3,206,10,91,0.89,0.29,0.01,0.22,0.88,0.06
94,'2021/06/24 18:47:52:796',3,206,9,93,0.89,0.29,0.01,0.22,0.88,0.06
95,'2021/06/24 18:47:52:853',3,207,10,91,0.89,0.29,0.01,0.22,0.88,0.06
96,'2021/06/24 18:47:52:909',3,207,10,90,0.89,0.29,0.01,0.22,0.88,0.06
97,'2021/06/24 18:47:52:963',3,206,9,93,0.89,0.29,0.01,0.22,0.88,0.06
98,'2021/06/24 18:47:53:015',3,206,10,91,0.89,0.29,0.01,0.22,0.88,0.06
99,'2021/06/24 18:47:54:952',4,212,10,94,0.89,0.29,0.01,0.22,0.88,0.06
100,'2021/06/24 18:47:55:004',4,226,170,64,0.89,0.29,0.01,0.22,0.88,0.06
101,'2021/06/24 18:47:55:055',4,212,10,93,0.89,0.29,0.01,0.22,0.88,0.06
102,'2021/06/24 18:47:55:107',4,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
103,'2021/06/24 18:47:55:159',4,210,9,95,0.89,0.29,0.01,0.22,0.88,0.06
104,'2021/06/24 18:47:55:209',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
105,'2021/06/24 18:47:55:260',4,212,9,94,0.89,0.29,0.01,0.22,0.88,0.06
106,'2021/06/24 18:47:55:312',4,212,9,93,0.89,0.29,0.01,0.22,0.88,0.06
107,'2021/06/24 18:47:55:363',4,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
108,'2021/06/24 18:47:55:414',4,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
109,'2021/06/24 18:47:55:465',4,212,9,93,0.89,0.29,0.01,0.22,0.88,0.06
110,'2021/06/24 18:47:55:517',4,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
111,'2021/06/24 18:47:55:566',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
112,'2021/06/24 18:47:55:617',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
113,'2021/06/24 18:47:55:668',4,212,10,93,0.89,0.29,0.01,0.22,0.88,0.06
114,'2021/06/24 18:47:55:722',4,210,9,96,0.89,0.29,0.01,0.22,0.88,0.06
115,'2021/06/24 18:47:55:773',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
116,'2021/06/24 18:47:55:823',4,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
117,'2021/06/24 18:47:55:874',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
118,'2021/06/24 18:47:55:925',4,210,9,95,0.89,0.29,0.01,0.22,0.88,0.06
119,'2021/06/24 18:47:55:977',4,211,10,93,0.89,0.29,0.01,0.22,0.88,0.06
120,'2021/06/24 18:47:56:033',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
121,'2021/06/24 18:47:56:083',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
122,'2021/06/24 18:47:56:132',4,210,8,96,0.89,0.29,0.01,0.22,0.88,0.06
123,'2021/06/24 18:47:56:182',4,211,8,95,0.89,0.29,0.01,0.22,0.88,0.06
124,'2021/06/24 18:47:56:232',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
125,'2021/06/24 18:47:56:286',4,211,9,93,0.89,0.29,0.01,0.22,0.88,0.06
126,'2021/06/24 18:47:56:337',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
127,'2021/06/24 18:47:56:393',4,213,10,92,0.89,0.29,0.01,0.22,0.88,0.06
128,'2021/06/24 18:47:56:446',4,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
129,'2021/06/24 18:47:56:497',4,210,8,96,0.89,0.29,0.01,0.22,0.88,0.06
130,'2021/06/24 18:47:56:548',4,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
131,'2021/06/24 18:47:56:598',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
132,'2021/06/24 18:47:56:647',4,211,8,94,0.89,0.29,0.01,0.22,0.88,0.06
133,'2021/06/24 18:47:56:698',4,211,9,93,0.89,0.29,0.01,0.22,0.88,0.06
134,'2021/06/24 18:47:56:749',4,212,10,92,0.89,0.29,0.01,0.22,0.88,0.06
135,'2021/06/24 18:47:56:799',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
136,'2021/06/24 18:47:56:851',4,211,9,92,0.89,0.29,0.01,0.22,0.88,0.06
137,'2021/06/24 18:47:56:902',4,211,9,93,0.89,0.29,0.01,0.22,0.88,0.06
138,'2021/06/24 18:47:56:952',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
139,'2021/06/24 18:47:57:003',4,211,9,94,0.89,0.29,0.01,0.22,0.88,0.06
140,'2021/06/24 18:47:57:053',4,212,10,91,0.89,0.29,0.01,0.22,0.88,0.06
141,'2021/06/24 18:47:57:103',4,210,9,95,0.89,0.29,0.01,0.22,0.88,0.06
142,'2021/06/24 18:47:57:153',4,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
143,'2021/06/24 18:47:58:738',5,214,9,92,0.89,0.29,0.01,0.22,0.88,0.06
144,'2021/06/24 18:47:58:795',5,214,9,92,0.89,0.29,0.01,0.22,0.88,0.06
145,'2021/06/24 18:47:58:846',5,214,9,93,0.89,0.29,0.01,0.22,0.88,0.06
146,'2021/06/24 18:47:58:896',5,212,9,94,0.89,0.29,0.01,0.22,0.88,0.06
147,'2021/06/24 18:47:58:949',5,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
148,'2021/06/24 18:47:59:010',5,214,10,94,0.89,0.29,0.01,0.22,0.88,0.06
149,'2021/06/24 18:47:59:063',5,213,9,93,0.89,0.29,0.01,0.22,0.88,0.06
150,'2021/06/24 18:47:59:116',5,213,10,93,0.89,0.29,0.01,0.22,0.88,0.06
151,'2021/06/24 18:47:59:171',5,212,10,94,0.89,0.29,0.01,0.22,0.88,0.06
152,'2021/06/24 18:47:59:224',5,213,10,93,0.89,0.29,0.01,0.22,0.88,0.06
153,'2021/06/24 18:47:59:274',5,212,9,93,0.89,0.29,0.01,0.22,0.88,0.06
154,'2021/06/24 18:47:59:328',5,212,9,95,0.89,0.29,0.01,0.22,0.88,0.06
155,'2021/06/24 18:47:59:377',5,212,10,94,0.89,0.29,0.01,0.22,0.88,0.06
156,'2021/06/24 18:47:59:427',5,212,10,93,0.89,0.29,0.01,0.22,0.88,0.06
157,'2021/06/24 18:47:59:478',5,212,9,94,0.89,0.29,0.01,0.22,0.88,0.06
158,'2021/06/24 18:47:59:530',5,213,10,92,0.89,0.29,0.01,0.22,0.88,0.06
159,'2021/06/24 18:47:59:583',5,213,10,93,0.89,0.29,0.01,0.22,0.88,0.06
160,'2021/06/24 18:47:59:634',5,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
161,'2021/06/24 18:47:59:685',5,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
162,'2021/06/24 18:47:59:734',5,212,10,94,0.89,0.29,0.01,0.22,0.88,0.06
163,'2021/06/24 18:47:59:785',5,212,9,94,0.89,0.29,0.01,0.22,0.88,0.06
164,'2021/06/24 18:47:59:835',5,212,9,93,0.89,0.29,0.01,0.22,0.88,0.06
165,'2021/06/24 18:47:59:886',5,212,9,95,0.89,0.29,0.01,0.22,0.88,0.06
166,'2021/06/24 18:47:59:936',5,212,9,94,0.89,0.29,0.01,0.22,0.88,0.06
167,'2021/06/24 18:47:59:990',5,212,9,93,0.89,0.29,0.01,0.22,0.88,0.06
168,'2021/06/24 18:48:00:046',5,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
169,'2021/06/24 18:48:00:097',5,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
170,'2021/06/24 18:48:00:147',5,210,9,95,0.89,0.29,0.01,0.22,0.88,0.06
171,'2021/06/24 18:48:00:198',5,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
172,'2021/06/24 18:48:00:248',5,211,10,94,0.89,0.29,0.01,0.22,0.88,0.06
173,'2021/06/24 18:48:00:298',5,210,9,96,0.89,0.29,0.01,0.22,0.88,0.06
174,'2021/06/24 18:48:00:350',5,212,10,93,0.89,0.29,0.01,0.22,0.88,0.06
175,'2021/06/24 18:48:00:401',5,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
176,'2021/06/24 18:48:00:451',5,211,9,95,0.89,0.29,0.01,0.22,0.88,0.06
177,'2021/06/24 18:48:00:502',5,212,10,93,0.89,0.29,0.01,0.22,0.88,0.06
178,'2021/06/24 18:48:00:552',5,212,10,93,0.89,0.29,0.01,0.22,0.88,0.06
179,'2021/06/24 18:48:00:606',5,212,9,94,0.89,0.29,0.01,0.22,0.88,0.06
180,'2021/06/24 18:48:03:866',6,189,5,93,0.89,0.29,0.01,0.22,0.88,0.06
181,'2021/06/24 18:48:03:916',6,189,5,90,0.89,0.29,0.01,0.22,0.88,0.06
182,'2021/06/24 18:48:03:968',6,190,4,92,0.89,0.29,0.01,0.22,0.88,0.06
183,'2021/06/24 18:48:04:020',6,188,4,94,0.89,0.29,0.01,0.22,0.88,0.06
184,'2021/06/24 18:48:04:075',6,187,3,95,0.89,0.29,0.01,0.22,0.88,0.06
185,'2021/06/24 18:48:04:125',6,189,5,91,0.89,0.29,0.01,0.22,0.88,0.06
186,'2021/06/24 18:48:04:175',6,189,5,92,0.89,0.29,0.01,0.22,0.88,0.06
187,'2021/06/24 18:48:04:228',6,188,5,92,0.89,0.29,0.01,0.22,0.88,0.06
188,'2021/06/24 18:48:04:278',6,188,5,91,0.89,0.29,0.01,0.22,0.88,0.06
189,'2021/06/24 18:48:04:340',6,189,5,91,0.89,0.29,0.01,0.22,0.88,0.06
190,'2021/06/24 18:48:04:399',6,189,4,92,0.89,0.29,0.01,0.22,0.88,0.06
191,'2021/06/24 18:48:04:449',6,188,4,93,0.89,0.29,0.01,0.22,0.88,0.06
192,'2021/06/24 18:48:04:498',6,189,5,92,0.89,0.29,0.01,0.22,0.88,0.06
193,'2021/06/24 18:48:04:548',6,190,6,90,0.89,0.29,0.01,0.22,0.88,0.06
194,'2021/06/24 18:48:04:599',6,189,5,91,0.89,0.29,0.01,0.22,0.88,0.06
195,'2021/06/24 18:48:04:649',6,189,5,91,0.89,0.29,0.01,0.22,0.88,0.06
196,'2021/06/24 18:48:04:700',6,188,5,92,0.89,0.29,0.01,0.22,0.88,0.06
197,'2021/06/24 18:48:04:755',6,189,6,91,0.89,0.29,0.01,0.22,0.88,0.06
198,'2021/06/24 18:48:04:805',6,190,5,90,0.89,0.29,0.01,0.22,0.88,0.06
199,'2021/06/24 18:48:04:854',6,189,5,90,0.89,0.29,0.01,0.22,0.88,0.06
200,'2021/06/24 18:48:04:904',6,190,5,92,0.89,0.29,0.01,0.22,0.88,0.06
201,'2021/06/24 18:48:04:954',6,190,6,90,0.89,0.29,0.01,0.22,0.88,0.06
202,'2021/06/24 18:48:05:004',6,187,4,93,0.89,0.29,0.01,0.22,0.88,0.06
203,'2021/06/24 18:48:05:054',6,188,5,92,0.89,0.29,0.01,0.22,0.88,0.06
204,'2021/06/24 18:48:05:106',6,187,4,94,0.89,0.29,0.01,0.22,0.88,0.06
205,'2021/06/24 18:48:05:157',6,189,5,91,0.89,0.29,0.01,0.22,0.88,0.06
206,'2021/06/24 18:48:05:207',6,187,5,92,0.89,0.29,0.01,0.22,0.88,0.06
207,'2021/06/24 18:48:05:259',6,188,5,90,0.89,0.29,0.01,0.22,0.88,0.06
208,'2021/06/24 18:48:05:310',6,189,5,92,0.89,0.29,0.01,0.22,0.88,0.06
209,'2021/06/24 18:48:05:359',6,189,6,92,0.89,0.29,0.01,0.22,0.88,0.06
210,'2021/06/24 18:48:05:409',6,189,4,92,0.89,0.29,0.01,0.22,0.88,0.06
211,'2021/06/24 18:48:05:459',6,188,4,94,0.89,0.29,0.01,0.22,0.88,0.06
212,'2021/06/24 18:48:05:510',6,188,6,90,0.89,0.29,0.01,0.22,0.88,0.06
213,'2021/06/24 18:48:05:561',6,188,5,92,0.89,0.29,0.01,0.22,0.88,0.06
214,'2021/06/24 18:48:05:617',6,188,4,92,0.89,0.29,0.01,0.22,0.88,0.06
215,'2021/06/24 18:48:07:418',7,207,6,95,0.89,0.29,0.01,0.22,0.88,0.06
216,'2021/06/24 18:48:07:473',7,207,5,94,0.89,0.29,0.01,0.22,0.88,0.06
217,'2021/06/24 18:48:07:524',7,209,5,93,0.89,0.29,0.01,0.22,0.88,0.06
218,'2021/06/24 18:48:07:577',7,208,5,94,0.89,0.29,0.01,0.22,0.88,0.06
219,'2021/06/24 18:48:07:628',7,208,5,93,0.89,0.29,0.01,0.22,0.88,0.06
220,'2021/06/24 18:48:07:678',7,209,6,92,0.89,0.29,0.01,0.22,0.88,0.06
221,'2021/06/24 18:48:07:730',7,208,5,93,0.89,0.29,0.01,0.22,0.88,0.06
222,'2021/06/24 18:48:07:781',7,207,5,94,0.89,0.29,0.01,0.22,0.88,0.06
223,'2021/06/24 18:48:07:831',7,207,5,94,0.89,0.29,0.01,0.22,0.88,0.06
224,'2021/06/24 18:48:07:881',7,208,5,94,0.89,0.29,0.01,0.22,0.88,0.06
225,'2021/06/24 18:48:07:933',7,208,5,93,0.89,0.29,0.01,0.22,0.88,0.06
226,'2021/06/24 18:48:07:984',7,208,6,93,0.89,0.29,0.01,0.22,0.88,0.06
227,'2021/06/24 18:48:08:038',7,208,5,93,0.89,0.29,0.01,0.22,0.88,0.06
228,'2021/06/24 18:48:08:088',7,208,5,92,0.89,0.29,0.01,0.22,0.88,0.06
229,'2021/06/24 18:48:08:140',7,209,5,92,0.89,0.29,0.01,0.22,0.88,0.06
230,'2021/06/24 18:48:08:190',7,207,5,93,0.89,0.29,0.01,0.22,0.88,0.06
231,'2021/06/24 18:48:08:240',7,207,5,93,0.89,0.29,0.01,0.22,0.88,0.06
232,'2021/06/24 18:48:08:290',7,208,5,92,0.89,0.29,0.01,0.22,0.88,0.06
233,'2021/06/24 18:48:08:340',7,208,5,93,0.89,0.29,0.01,0.22,0.88,0.06
234,'2021/06/24 18:48:08:390',7,208,5,93,0.89,0.29,0.01,0.22,0.88,0.06
235,'2021/06/24 18:48:08:439',7,224,170,64,0.89,0.29,0.01,0.22,0.88,0.06
236,'2021/06/24 18:48:08:490',7,207,5,93,0.89,0.29,0.01,0.22,0.88,0.06
237,'2021/06/24 18:48:08:541',7,207,5,93,0.89,0.29,0.01,0.22,0.88,0.06
238,'2021/06/24 18:48:08:592',7,207,5,93,0.89,0.29,0.01,0.22,0.88,0.06
239,'2021/06/24 18:48:08:643',7,207,6,92,0.89,0.29,0.01,0.22,0.88,0.06
240,'2021/06/24 18:48:08:693',7,208,6,92,0.89,0.29,0.01,0.22,0.88,0.06
241,'2021/06/24 18:48:08:743',7,207,5,92,0.89,0.29,0.01,0.22,0.88,0.06
242,'2021/06/24 18:48:08:794',7,207,6,91,0.89,0.29,0.01,0.22,0.88,0.06
243,'2021/06/24 18:48:08:845',7,208,5,91,0.89,0.29,0.01,0.22,0.88,0.06
244,'2021/06/24 18:48:08:895',7,208,6,91,0.89,0.29,0.01,0.22,0.88,0.06
245,'2021/06/24 18:48:11:763',8,208,8,95,0.89,0.29,0.01,0.22,0.88,0.06
246,'2021/06/24 18:48:11:815',8,209,9,93,0.89,0.29,0.01,0.22,0.88,0.06
247,'2021/06/24 18:48:11:865',8,208,9,95,0.89,0.29,0.01,0.22,0.88,0.06
248,'2021/06/24 18:48:11:921',8,208,9,94,0.89,0.29,0.01,0.22,0.88,0.06
249,'2021/06/24 18:48:11:972',8,207,8,97,0.89,0.29,0.01,0.22,0.88,0.06
250,'2021/06/24 18:48:12:022',8,208,8,95,0.89,0.29,0.01,0.22,0.88,0.06
251,'2021/06/24 18:48:12:073',8,209,10,92,0.89,0.29,0.01,0.22,0.88,0.06
252,'2021/06/24 18:48:12:126',8,209,9,94,0.89,0.29,0.01,0.22,0.88,0.06
253,'2021/06/24 18:48:12:179',8,208,9,94,0.89,0.29,0.01,0.22,0.88,0.06
254,'2021/06/24 18:48:12:229',8,208,9,95,0.89,0.29,0.01,0.22,0.88,0.06
255,'2021/06/24 18:48:12:280',8,209,9,94,0.89,0.29,0.01,0.22,0.88,0.06
256,'2021/06/24 18:48:12:331',8,208,8,95,0.89,0.29,0.01,0.22,0.88,0.06
257,'2021/06/24 18:48:12:387',8,209,9,94,0.89,0.29,0.01,0.22,0.88,0.06
258,'2021/06/24 18:48:12:439',8,209,8,94,0.89,0.29,0.01,0.22,0.88,0.06
259,'2021/06/24 18:48:12:491',8,208,9,94,0.89,0.29,0.01,0.22,0.88,0.06
260,'2021/06/24 18:48:12:541',8,207,9,96,0.89,0.29,0.01,0.22,0.88,0.06
261,'2021/06/24 18:48:12:593',8,208,8,95,0.89,0.29,0.01,0.22,0.88,0.06
262,'2021/06/24 18:48:12:643',8,208,9,94,0.89,0.29,0.01,0.22,0.88,0.06
263,'2021/06/24 18:48:12:695',8,208,8,94,0.89,0.29,0.01,0.22,0.88,0.06
264,'2021/06/24 18:48:12:744',8,207,8,95,0.89,0.29,0.01,0.22,0.88,0.06
265,'2021/06/24 18:48:12:798',8,209,10,93,0.89,0.29,0.01,0.22,0.88,0.06
266,'2021/06/24 18:48:12:852',8,208,9,93,0.89,0.29,0.01,0.22,0.88,0.06
267,'2021/06/24 18:48:12:907',8,208,8,95,0.89,0.29,0.01,0.22,0.88,0.06
268,'2021/06/24 18:48:12:957',8,208,8,94,0.89,0.29,0.01,0.22,0.88,0.06
269,'2021/06/24 18:48:13:007',8,208,8,94,0.89,0.29,0.01,0.22,0.88,0.06
270,'2021/06/24 18:48:13:058',8,208,9,94,0.89,0.29,0.01,0.22,0.88,0.06
271,'2021/06/24 18:48:13:118',8,207,8,96,0.89,0.29,0.01,0.22,0.88,0.06
272,'2021/06/24 18:48:13:168',8,207,8,95,0.89,0.29,0.01,0.22,0.88,0.06
